,iclass,idxs,x_pos,y_pos,consistent_r3,batch_size,rule_uniq,rule_cnts
152,1,"[8833, 8146, 9660]",2,2,11,100,[ 6.  1. 20. 16. 25. 26. 36.],[28 11 10 10  8  2  1]
153,1,"[7134, 6577, 6112]",0,2,9,100,[ 6. 22. 26.  1. 16. 30.],[23 16 11  9  4  1]
154,1,"[7134, 6577, 6112]",1,2,9,100,[ 6. 16.  1. 26. 35.],[18 10  9  6  2]
155,1,"[7134, 6577, 6112]",2,2,9,100,[15.  6. 36. 35. 26. 11.  1. 25. 20. 16.],[37 28 15 13 10  9  9  6  6  4]
156,1,"[10289, 1362, 2554]",0,2,10,100,[ 6. 35. 15.  1.],[34 12 10 10]
157,1,"[10289, 1362, 2554]",1,2,8,100,[26.  6.  1. 36. 19.],[43 21  8  4  1]
158,1,"[10289, 1362, 2554]",2,2,2,100,[ 6. 12. 16. 24. 32. 25. 35.  1. 38.],[35 30  9  5  3  3  2  2  1]
159,1,"[6173, 4836, 8972]",0,2,4,100,[22. 15.  6. 10. 36. 26.  1. 16.],[45 31 24 13  9  8  4  1]
160,1,"[6173, 4836, 8972]",1,2,9,100,[ 6. 15.  1. 36. 13. 38. 27.],[19 13  9  4  4  1  1]
161,1,"[6173, 4836, 8972]",2,2,12,100,[13.  6.  1. 32. 26. 22. 38.],[40 29 12  4  3  2  1]
162,1,"[2255, 9765, 9649]",0,2,12,100,[ 6.  1. 35. 22. 36. 26. 37.],[14 12 10 10  8  5  1]
163,1,"[2255, 9765, 9649]",1,2,2,100,[32.  6. 24.  1. 36.],[17 11  6  2  1]
164,1,"[2255, 9765, 9649]",2,2,9,100,[ 6.  1. 30. 29. 17.],[17  9  5  4  3]
165,1,"[922, 850, 9942]",0,2,5,100,[ 6.  1. 19. 37. 31. 36.],[39  5  3  2  2  1]
166,1,"[922, 850, 9942]",1,2,16,100,[ 6.  1. 36.],[27 16  1]
167,1,"[922, 850, 9942]",2,2,5,100,[ 6.  1. 30.],[47  5  2]
168,1,"[6024, 9137, 3600]",0,2,13,100,[22.  6. 33.  1. 26. 16. 11. 37.],[32 23 18 13  8  4  3  1]
169,1,"[6024, 9137, 3600]",1,2,21,100,[ 1. 35. 26.  6. 22. 34. 16. 12.],[21 15 13 13  6  5  5  5]
170,1,"[6024, 9137, 3600]",2,2,8,100,[ 6. 15. 10.  1. 16. 30. 38.],[38 29 11  8  5  4  1]
